831840826019	ACTIVE
546098535084	ACTIVE
358252857214	ACTIVE
877815565772	ACTIVE
053904065926	ACTIVE
523532838928	ACTIVE
412062801036	ACTIVE
689995417971	ACTIVE
349065388275	ACTIVE
169777674725	ACTIVE
130861008558	ACTIVE
609827717672	ACTIVE
808161447283	ACTIVE
727163256325	ACTIVE
546856994841	ACTIVE
290473323785	ACTIVE
460462482379	ACTIVE
898783525438	ACTIVE
114333669692	ACTIVE
894767215059	ACTIVE
883693417177	ACTIVE
040443455884	ACTIVE
376470165619	ACTIVE
342590238067	ACTIVE
179730087721	ACTIVE
271154676269	ACTIVE
884224146426	ACTIVE
231059148995	ACTIVE
909385375729	ACTIVE
831103493708	ACTIVE
589916351153	ACTIVE
257523260067	ACTIVE
811797008598	ACTIVE
058290216729	ACTIVE
769881816295	ACTIVE
053551932894	ACTIVE
412178066228	ACTIVE
244998048076	ACTIVE
760246263423	ACTIVE
999326334859	ACTIVE
556517295172	ACTIVE
735086137511	ACTIVE
416201379986	ACTIVE
707368037012	ACTIVE
290390175119	ACTIVE
854761095054	ACTIVE
469694691120	ACTIVE
499257310109	ACTIVE
333084809251	ACTIVE
799014642716	ACTIVE
744050558611	ACTIVE
362459447076	ACTIVE
352111837384	ACTIVE
159102897692	ACTIVE
183939961397	ACTIVE
